Cliente;Direccion;Localidad;FechaComprobante;FechaEntrega;FechaCarga;NroComprobante;TipoDeVenta;Empresa;Codigo;CantBase;ImporteNetoItem;ImporteItem;RazonSocial;MotivoDevolucion;Descuento;CodVendedor;Vendedor;RutaPreventa;Articulo;NetoItem;Reparto;ComentarioInterno;Ramo;Subramo;PrecioCosto;Chofer;valorDescuento;Mon_Simbolo;Mon_Decimales;Proveedor;PesoKg;ImpuestoInterno;CondicionPago;FechaLiquidacion;ComboCodigo;Marca;Linea;Sabor;Calibre;Familia;Rubro;Tags;Promociones;SegmentoRentabilidad;CodSupervisor;NomSupervisor;Origen;ComprobanteReferencia;Etiqueta;VentaDirecta;NumeroVenta;Pendiente;ListaPrecio;Taxonomia;OrdenPreparacion;FechaPreparacion;Bodeguistas
1205;25 DE MAYO 613;Devoto;1/4/2026;1/4/2026;1/4/2026;FAC-A0006-00060856;Venta;P&P LOGISTICA S.R.L;30022;12;76665,87;92765,71;DISTRIBUIDORA GEROSA;;6,00%;10;ORTEGA MILAGROS DESIREE;2050;SMIRNOFF RASPBERRY DO 6X700;6388,82;;;TRADITIONAL TRADE;Kiosco/Maxikiosco;64248,6;;407,8;$;2;GRUPO PEÑAFLOR SA;8,4;0;Contado;1/4/2026 11:44;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;Gescom;;;True;152663;0;Lista General;Kiosco/Maxikiosco - B;;1/1/2000;
1205;25 DE MAYO 613;Devoto;1/4/2026;1/4/2026;1/4/2026;FAC-A0006-00060856;Venta;P&P LOGISTICA S.R.L;30020;36;229997,62;278297,12;DISTRIBUIDORA GEROSA;;6,00%;10;ORTEGA MILAGROS DESIREE;2050;SMIRNOFF GREEN APPLE DO 6X700;6388,82;;;TRADITIONAL TRADE;Kiosco/Maxikiosco;192745,8;;407,8;$;2;GRUPO PEÑAFLOR SA;25,2;0;Contado;1/4/2026 11:44;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;Gescom;;;True;152663;0;Lista General;Kiosco/Maxikiosco - B;;1/1/2000;
1205;25 DE MAYO 613;Devoto;1/4/2026;1/4/2026;1/4/2026;FAC-A0006-00060856;Venta;P&P LOGISTICA S.R.L;30131;12;76665,87;92765,71;DISTRIBUIDORA GEROSA;;6,00%;10;ORTEGA MILAGROS DESIREE;2050;SMIRNOFF TROPICAL FRUITS 6X700;6388,82;;;TRADITIONAL TRADE;Kiosco/Maxikiosco;64248,6;;407,8;$;2;GRUPO PEÑAFLOR SA;8,4;0;Contado;1/4/2026 11:44;;Smirnoff;Standard (S);No definido;;;Vodka;%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;Gescom;;;True;152663;0;Lista General;Kiosco/Maxikiosco - B;;1/1/2000;
2272;RAFAEL BIANCHI 597;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060868;Venta;P&P LOGISTICA S.R.L;74736;6;19979,24;24174,89;MANCINI GRACIELA BEATRIZ;;10,00%;2;LUDUEÑA JULIANA;2020;ALMA MORA MERLOT 6X750;3329,87;3533;;TRADITIONAL TRADE;Almacen/Despensa;16986,6;DELGADO MAYCO JOAQUIN;369,99;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;6/4/2026 08:34;;Alma Mora;Alto;No definido;;-No Definido-;Vinos del Año;%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;151858;0;Lista General;Almacen/Despensa - B;12261;31/3/2026;002-SENN ENZO
1061;AV PERON 1955;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060873;Venta;P&P LOGISTICA S.R.L;35103;6;10911,88;13203,37;MOYA SIMON ARIEL;;6,00%;2;LUDUEÑA JULIANA;2020;SMIRNOFF ICE LATA 4X6X473;1818,65;3533;;TRADITIONAL TRADE;Kiosco/Maxikiosco;8882,64;DELGADO MAYCO JOAQUIN;116,08;$;2;GRUPO PEÑAFLOR SA;2,838;0;Contado;6/4/2026 08:34;;Smirnoff Ice;RTD (s);No definido;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;151940;0;Lista General;Kiosco/Maxikiosco - B;12261;31/3/2026;002-SENN ENZO
1061;AV PERON 1955;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060873;Venta;P&P LOGISTICA S.R.L;35105;6;10911,88;13203,37;MOYA SIMON ARIEL;;6,00%;2;LUDUEÑA JULIANA;2020;SMF ICE RED BERRIE LAT 4X6X473;1818,65;3533;;TRADITIONAL TRADE;Kiosco/Maxikiosco;8882,64;DELGADO MAYCO JOAQUIN;116,08;$;2;GRUPO PEÑAFLOR SA;2,838;0;Contado;6/4/2026 08:34;;Smirnoff Ice Flavours;RTD (s);No definido;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;151940;0;Lista General;Kiosco/Maxikiosco - B;12261;31/3/2026;002-SENN ENZO
1061;AV PERON 1955;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060873;Venta;P&P LOGISTICA S.R.L;35104;6;10911,88;13203,37;MOYA SIMON ARIEL;;6,00%;2;LUDUEÑA JULIANA;2020;SMF ICE GREENAPPLE LAT 4X6X473;1818,65;3533;;TRADITIONAL TRADE;Kiosco/Maxikiosco;8882,64;DELGADO MAYCO JOAQUIN;116,08;$;2;GRUPO PEÑAFLOR SA;2,838;0;Contado;6/4/2026 08:34;;Smirnoff Ice Flavours;RTD (s);No definido;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;151940;0;Lista General;Kiosco/Maxikiosco - B;12261;31/3/2026;002-SENN ENZO
1061;AV PERON 1955;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060873;Venta;P&P LOGISTICA S.R.L;14619;6;11848,56;14336,76;MOYA SIMON ARIEL;;0,00%;2;LUDUEÑA JULIANA;2020;FRIZZE BUBBLE MOOD 6X1000;1974,76;3533;;TRADITIONAL TRADE;Kiosco/Maxikiosco;9066,42;DELGADO MAYCO JOAQUIN;0;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;6/4/2026 08:34;;Frizze;;;;;RTD (S);%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;151940;0;Lista General;Kiosco/Maxikiosco - B;12261;31/3/2026;002-SENN ENZO
1061;AV PERON 1955;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060873;Venta;P&P LOGISTICA S.R.L;35109;6;11457,43;13863,5;MOYA SIMON ARIEL;;6,00%;2;LUDUEÑA JULIANA;2020;SMF  BC GRAPEF&LIME  LATA 4X6X473;1909,57;3533;;TRADITIONAL TRADE;Kiosco/Maxikiosco;9326,7;DELGADO MAYCO JOAQUIN;121,89;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;6/4/2026 08:34;;Smirnoff Ice Flavours;RTD (s);;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;151940;0;Lista General;Kiosco/Maxikiosco - B;12261;31/3/2026;002-SENN ENZO
1061;AV PERON 1955;ARROYITO;1/4/2026;2/4/2026;30/3/2026;FAC-A0006-00060873;Venta;P&P LOGISTICA S.R.L;35108;6;11457,43;13863,5;MOYA SIMON ARIEL;;6,00%;2;LUDUEÑA JULIANA;2020;SMF BC RUBYORANGE&LIME LATA 4X6X473;1909,57;3533;;TRADITIONAL TRADE;Kiosco/Maxikiosco;9326,7;DELGADO MAYCO JOAQUIN;121,89;$;2;GRUPO PEÑAFLOR SA;0;0;Contado;6/4/2026 08:34;;Smirnoff Ice Flavours;RTD (S);;;;RTD (S);%10,%20,PEÑAFLOR GRUPO OBJETIVO;;;20032;GRIBAUDO ESTEBAN;AXUM;;;False;151940;0;Lista General;Kiosco/Maxikiosco - B;12261;31/3/2026;002-SENN ENZO
